"FIPS","Yearn","rate"
51091,2019,95.0
51093,2019,140.2
51095,2019,134.5
51097,2019,151.1
51099,2019,115.5
51101,2019,138.0
51103,2019,149.3
51105,2019,162.1
51107,2019,112.8
51109,2019,151.5
51111,2019,155.3
51113,2019,150.7
51115,2019,132.4
51117,2019,162.3
51119,2019,141.7
51121,2019,126.3
51125,2019,164.0
51127,2019,148.6
51131,2019,162.0
51133,2019,116.3
51135,2019,156.8
51137,2019,151.9
51139,2019,165.8
51141,2019,146.3
51143,2019,147.4
51145,2019,123.7
51147,2019,159.9
51149,2019,122.1
51153,2019,126.6
51155,2019,132.8
51157,2019,110.2
51159,2019,173.6
51161,2019,130.4
51163,2019,125.6
51165,2019,130.6
51167,2019,166.8
51169,2019,177.0
51171,2019,157.0
51173,2019,176.6
51175,2019,127.9
51177,2019,143.5
51179,2019,132.9
51181,2019,149.8
51183,2019,192.2
51185,2019,189.1
51187,2019,168.6
51191,2019,147.7
51193,2019,159.2
51195,2019,181.2
51197,2019,153.7
51199,2019,110.5
51510,2019,110.0
51520,2019,184.2
51530,2019,159.0
51540,2019,137.4
51550,2019,158.0
51570,2019,178.2
51580,2019,241.0
51590,2019,166.9
51595,2019,105.3
51600,2019,189.2
51610,2019,105.5
51620,2019,211.4
51630,2019,119.2
51640,2019,331.3
51650,2019,168.2
51660,2019,131.5
51670,2019,212.2
51678,2019,179.8
51680,2019,173.2
51683,2019,134.5
51685,2019,58.6
51690,2019,258.6
51700,2019,177.1
51710,2019,182.7
51720,2019,129.3
51730,2019,243.8
51735,2019,141.9
51740,2019,188.1
51750,2019,153.5
51760,2019,148.4
51770,2019,175.4
51775,2019,180.8
51790,2019,181.7
51800,2019,161.1
51810,2019,146.8
51820,2019,191.6
51830,2019,60.2
51840,2019,146.1
51917,2019,147.5
51001,2020,175.1
51003,2020,112.7
51005,2020,131.9
51007,2020,165.9
51009,2020,140.6
51011,2020,138.8
51013,2020,99.0
51015,2020,123.5
51017,2020,147.9
51021,2020,95.1
51023,2020,119.4
51025,2020,156.3
51027,2020,167.9
51029,2020,135.5
51031,2020,153.5
51033,2020,154.6
51035,2020,135.8
51036,2020,133.3
51037,2020,150.1
51041,2020,146.2
51043,2020,122.5
51045,2020,111.7
51047,2020,149.9
51049,2020,148.7
51051,2020,185.4
51053,2020,146.4
51057,2020,146.1
51059,2020,104.6
51061,2020,134.5
51063,2020,133.0
51065,2020,129.8
51067,2020,133.2
51069,2020,151.1
51071,2020,166.5
51073,2020,177.2
51075,2020,134.0
51077,2020,148.7
51079,2020,119.1
51081,2020,190.5
51083,2020,182.0
51085,2020,141.3
51087,2020,146.8
51089,2020,153.4
51091,2020,109.0
51093,2020,144.7
51095,2020,132.8
51097,2020,153.7
51099,2020,119.4
51101,2020,128.7
51103,2020,156.7
51105,2020,159.0
51107,2020,111.6
51109,2020,146.8
51111,2020,147.1
51113,2020,138.5
51115,2020,121.0
51117,2020,158.6
51119,2020,136.0
51121,2020,120.3
51125,2020,142.7
51127,2020,144.3
51131,2020,154.0
51133,2020,117.8
51135,2020,162.8
51137,2020,151.5
51139,2020,161.7
51141,2020,152.6
51143,2020,148.1
51145,2020,118.8
51147,2020,158.9
51149,2020,122.6
51153,2020,123.7
51155,2020,131.4
51157,2020,95.9
51159,2020,165.9
51161,2020,127.6
51163,2020,117.3
51165,2020,132.2
51167,2020,163.8
51169,2020,173.3
51171,2020,158.9
51173,2020,175.0
51175,2020,134.9
51177,2020,141.6
51179,2020,134.2
51181,2020,134.5
51183,2020,180.8
51185,2020,178.9
51187,2020,166.6
51191,2020,146.9
51193,2020,155.0
51195,2020,181.9
51197,2020,156.7
51199,2020,108.9
51510,2020,104.8
51520,2020,163.9
51530,2020,147.6
51540,2020,123.4
51550,2020,157.2
51570,2020,178.0
51580,2020,217.7
51590,2020,176.0
51595,2020,129.5
51600,2020,181.9
51610,2020,106.1
51620,2020,198.5
51630,2020,115.7
51640,2020,307.7
51650,2020,166.8
51660,2020,129.2
51670,2020,205.6
51678,2020,175.0
51680,2020,168.5
51683,2020,136.2
51685,2020,58.2
51690,2020,239.8
51700,2020,173.9
51710,2020,180.6
51720,2020,150.7
51730,2020,239.3
51735,2020,143.7
51740,2020,184.3
51750,2020,145.9
51760,2020,140.7
51770,2020,176.6
51775,2020,186.4
51790,2020,168.4
51800,2020,160.0
51810,2020,143.9
51820,2020,184.2
51830,2020,66.1
51840,2020,145.0
51917,2020,148.5
51001,2021,179.3
51003,2021,114.5
51005,2021,159.6
51007,2021,186.6
51009,2021,161.4
51011,2021,155.7
51013,2021,107.6
51015,2021,134.3
51017,2021,184.2
51021,2021,137.8
51023,2021,136.2
51025,2021,185.9
51027,2021,186.6
51029,2021,162.2
51031,2021,158.8
51033,2021,169.4
51035,2021,159.6
51036,2021,183.1
51037,2021,185.7
51041,2021,147.8
51043,2021,142.1
51045,2021,160.2
51047,2021,160.3
51049,2021,188.1
51051,2021,189.4
51053,2021,173.2
51057,2021,178.6
51059,2021,106.4
51061,2021,150.7
51063,2021,158.0
51065,2021,151.4
51067,2021,150.2
51069,2021,161.6
51071,2021,182.7
51073,2021,184.2
51075,2021,142.0
51077,2021,187.9
51079,2021,133.6
51081,2021,221.0
